0;Ледовый комплекс Almaty Arena;"Ледовый комплекс Almaty ArenaДолгие зимние вечера просто созданы для сказок. Тем более, что их любят не только дети, но и взрослые.Пока за окном метёт метель, можно с головой погрузиться в пугающий, но такой притягательный мир фантазий и опасных тайн зимнего леса, тем более, что прекрасные Эльфы действительно существуют и зимой катаются на коньках.Маленькая девочка Эльза всегда верила, что страна Эльфов это не миф, а реальность и однажды, заблудившись в лесу, узнала его волшебную тайну.На шоу вас ждет:новая оригинальная история;яркое световое шоу;профессиональное фигурное катание;интерактивный спектакль;воздушные гимнасты;акробаты на льду;шикарные костюмы;светодиодный реквизит;Дед мороз и Снегурочка.Вместимость зала — 7 500 человек.Начало мероприятия:в 11:00;в 14:00.Длительность спектакля — 1 час.";г. Алматы, ​мкр. Нуркент, 7, ALMATY ARENA +7 (705) 175-Показать номер
1;Alem Kids;Alem KidsС 15 по 30 декабря ваших детей ждёт весёлая елка!В Alem Kids проводится увлекательная шоу-программа, которая понравится каждому непоседе.Приходите веселиться, интересно будет каждому малышу!Длительность утренника — 1 час 30 минут.Ограничения по количеству детей — до 10.Вы можете оставить ребенка и сходить на шоппинг или в кино, пока малыш будет весело и активно проводить время!До и после шоу-программ в парке работают приветливые аниматоры, которые не дадут заскучать вашему ребенку. Также, при необходимости, предусмотрена дополнительная услуга няни — 3 000 тг. в будние дни, 3 500 тг. в выходные дни.В парке есть отдельные комнаты, где могут посидеть родители, пока дети развлекаются.;г. Алматы, ул. Сейфуллина, 617, ТРЦ FORUM +7 (700) 600-Показать номер
2;Парк Nasledniki в ТРЦ Sputnik;"Парк Nasledniki в ТРЦ SputnikДетский парк развлечений Nasledniki расположен на 3 этаже ТРЦ Sputnik.На территории парка расположены:большая полоса препятствия;большая 3-этажная горка;3-этажный большой лабиринт с тарзанкой для детей постарше;мини-лабиринт для детей помладше;надувной батут в стиле «миньонов»;батутная зона;горка с баллонами.В парке есть аниматоры, которые проводят еженедельное шоу для посетителей парка, и операторы, которые следят за безопасностью детей при посещении аттракционов.Также предусотрена своя гардеробная, комната для матери и ребёнка, медпункт и фотозона.Общая площадь парка — 2 500 кв. м.Для посетителей парка работает ресторан с европейской кухней, где есть все блюда как для взрослых, так и для детей! Можно заказать любимые блюда фастфуда, а также горячее.В парке можно провести день рождения ребенка с весёлыми аниматорами и ростовыми куклами.В парке действуют правила посещения:на территорию парка допускаются дети только в сопровождении взрослых старше 18 лет;на территорию парка нельзя проносить еду и напитки;вход в игровую зону с велосипедом, на роликах, скейтборде, с животными и с коляской запрещён;вход в обуви запрещён, взрослым выдаются тапочки, детям — носочки;билет разовый, выходить с территории парка и возвращаться нельзя;запрещено потреблять дым и крепкие напитки на территории парка. ";г. Алматы, мкр. Мамыр-1, 8А, ТРЦ Sputnik, 3 этаж +7 (707) 706-Показать номерПонедельник, среда-воскресенье ​— с 10:00 до 22:00Вторник ​— с 14:00 до 22:00
3;Парк Nasledniki в ТРК Maxima;"Парк Nasledniki в ТРК MaximaДетский парк развлечений Nasledniki расположен на 3 этаже ТРК Maxima.На территории парка расположены:целый 6-этажный лабиринт с бассейном с цветными шариками;верёвочный городок;батутный комплекс;город мастеров;веселая полоса препятствий;качалки для маленьких детей.Также в парке есть аниматоры, которые проводят еженедельное шоу для посетителей парка, и операторы, которые следят за безопасностью детей при посещении аттракционов.Общая площадь парка — 3 000 кв. м.Для посетителей парка работает ресторан с европейской кухней, где есть все блюда как для взрослых, так и для детей! Можно заказать любимые блюда фастфуда, а также горячее.Есть бесплатная парковка.В парке можно провести день рождения ребенка с весёлыми аниматорами и ростовыми куклами.В парке действуют правила посещения:на территорию парка допускаются дети только в сопровождении взрослых старше 18 лет;на территорию парка нельзя проносить еду и напитки;вход в игровую зону с велосипедом, на роликах, скейтборде, с животными и с коляской запрещён;вход в обуви запрещён, взрослым выдаются тапочки, детям — носочки;билет разовый, выходить с территории парка и возвращаться нельзя;запрещено потреблять дым и крепкие напитки на территории парка.";г. Алматы, пр. Райымбека, 239Г, ТРК Maxima +7 (747) 700-Показать номерПонедельник, среда-воскресенье ​— с 10:00 до 22:00Вторник ​— с 14:00 до 22:00
4;Organic Space;Organic SpaceМагазин чая Organic Space специализируется на продажах натурального листового индийского чая с сублимированными ягодами и лечебными травами.Основная ценность — натуральность и экологическая чистота продукта, широкий выбор ассортимента и наличие уникальных смесей чайных напитков.Вы можете выбирать чай с фруктами, ягодами и травами, чтобы радовать себя и близких, друзей, коллег и всех, кто любит хороший чай.Срок хранения — до 2 лет.Товар имеет декларацию соответствия.;г. Алматы, пр. Сейфуллина, 420, ориентир — фотосалон у Павла +7 (705) 514-Показать номерПонедельник - суббота c 10:00 до 19:00.
5;Подарочные карты Chocolife.me;Подарочные карты Chocolife.meВсе мы любим делать подарки! Но иногда выбор становится слишком сложным — ведь хочется преподнести что-то полезное, а в то же время яркое и запоминающееся.Лучший выход — подарочная карта Chocolife.me! Получатель подарка сможет выбрать то, что любит больше всего, а вы сможете увидеть его (или ее) искреннюю радость!Вы можете выбрать нужный номинал — 2 000, 5 000, 10 000 или 20 000 тенге, и подарить эту сумму в виде карты. Баланс подарочных карт наличному выводу не подлежит.​;"г. Алматы, ул. Байзакова, 280 (уг. ул. Сатпаева), БЦ Алматы Тауэрс, 2 этаж, кабинет 222 (офис Chocolife.me) +7 (705) 925-Показать номерБудни: c 09:00 до 19:00
Выходные c 09:00 до 18:00."
6;Аниматоры Adali Project;"Аниматоры Adali ProjectКомпания Adali Project занимается организацией и проведением детских праздников под ключ: аниматоры, шоу программы, оформление, candy-бар, торты и прочее — вам нужно выбрать только стиль!Шоу-программы включают развлечения как для детей, так и для подростков: различные квесты, игры, командные соревнования и все это в выбранной вами тематике!Стаж аниматоров — от 1 года до 7 лет.Доступные костюмы и образы:Лол розовая, Лол-единорог, Лол-клякса;Супермен и Супервуман;Пони фиолетовая или розовая;Человек-паук и Бэтмен;Микки Маус и Минни Маус;Цирковые клоун и клоунесса;Белль из м/ф «Красавица и чудовище»;Аврора из м/ф «Спящая красавица»;Белоснежка;Маша и Медведь;Индейцы;Симка и Нолик из м/ф «Фиксики»;Гекко и Аллет (герои в масках);Эльза, Анна и Олаф из м/ф «Холодное сердце»;Моана и Мауи;Аладдин и Жасмин;Компот и Карамелька из м/ф «Три кота»;Розочка из м/ф «Тролли»;Золушка;Леди Баг;Свинка Пеппа и братик Джордж;Леон и Макс из м/ф «Brawl stars»;Малефисента;Барби и Кен;Голубая или Розовая фея;Тик ток и др.Выбирая Adali Project, вы получаете незабываемый праздник и море впечатлений!"; +7 (707) 776-Показать номер
7;Alem Kids;Alem KidsС 15 по 30 декабря ваших детей ждёт весёлая елка!В Alem Kids проводится увлекательная шоу-программа, которая понравится каждому непоседе.Приходите веселиться, интересно будет каждому малышу!Длительность утренника — 1 час 30 минут.Ограничения по количеству детей — до 10.Вы можете оставить ребенка и сходить на шоппинг или в кино, пока малыш будет весело и активно проводить время!До и после шоу-программ в парке работают приветливые аниматоры, которые не дадут заскучать вашему ребенку. Также, при необходимости, предусмотрена дополнительная услуга няни — 3 000 тг. в будние дни, 3 500 тг. в выходные дни.В парке есть отдельные комнаты, где могут посидеть родители, пока дети развлекаются.;г. Алматы, ул. Сейфуллина, 617, ТРЦ FORUM +7 (700) 600-Показать номер
8;Стоматология «СарАдан»;"Стоматология «СарАдан»​СтоматологиХадиша Дурсуновна, стаж более 10 лет;Закир Багодирович, стаж более 10 лет.Используемое оборудование: ультразвуковой аппарат для чистки зубов Air Flow, физиодиспенсер СОХО, Dentium, Osstem, Vatech.Используемые материалы: анестетик Убистезин, ДентЛайт, Eskom, Prime Dent.Длительность процедур — 1 час.Беременные могут посещать процедуры только по согласованию с наблюдающим врачом.";г. Алматы, пр. Суюнбая, 2, корпус 4, оф. 4, ТЦ Мерей +7 (702) 518-Показать номер +7 (727) 754-Показать номер +7 (778) 668-Показать номерЕжедневно: c 10:00 до 20:00
9;Стоматологическая клиника Almaty Dent;Стоматологическая клиника Almaty DentСтоматолог — Магомедов Алик Рахимович, стаж 8 лет.Используемое оборудование: ультразвуковой аппарат для чистки зубов Air Flow, NSK, Vatech, Woodpecker.Плазмолифтинг — это процедура лечения дёсен, помогает при гингивите, пародонтозе и других заболеваниях рта. Плазмолифтинг помогает устранить воспалительные процессы, кровоточивость и неприятный запах изо рта, а десны приобретают анатомическую форму и здоровый цвет.Используемая продукция: анестетик Убистезин и Septorest, 3M ESPE (Германия), Charisma (Германия), Dentsply (USA), Megafil (световая пломба).Длительность процедур — от 30 минут.;г. Алматы, ул. Тулебаева, 21 +7 (707) 224-Показать номерЕжедневно: c 09:00 до 20:00
